typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20250501,2025,5,202505,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,587845.275,TRUE,0,FALSE,935184632,931869384,935184632,6,FALSE,TRUE
C,M,20250601,2025,6,202506,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,78345.64,TRUE,0,FALSE,122932032,121885642,122932032,6,FALSE,TRUE
C,M,20250601,2025,6,202506,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,67.17,TRUE,0,FALSE,81068,79179,81068,6,FALSE,TRUE
C,M,20250601,2025,6,202506,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,59001.717,TRUE,0,FALSE,89309138,88166352,89309138,6,FALSE,TRUE
C,M,20250601,2025,6,202506,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,148682.556,TRUE,0,FALSE,255679579,254921018,255679579,6,FALSE,TRUE
C,M,20250601,2025,6,202506,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,716829.447,TRUE,0,FALSE,1131856443,1128815902,1131856443,6,FALSE,TRUE
C,M,20250701,2025,7,202507,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,59971.035,TRUE,0,FALSE,94184975,93159583,94184975,6,FALSE,TRUE
C,M,20250701,2025,7,202507,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,105.84,TRUE,0,FALSE,160675,154515,160675,6,FALSE,TRUE
C,M,20250701,2025,7,202507,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,65753.407,TRUE,0,FALSE,96851550,95240997,96851550,6,FALSE,TRUE
C,M,20250701,2025,7,202507,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,109714.219,TRUE,0,FALSE,183756207,183124567,183756207,6,FALSE,TRUE
C,M,20250701,2025,7,202507,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,398268.838,TRUE,0,FALSE,631615933,629281243,631615933,6,FALSE,TRUE
